관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
노루생태관찰원,관광지,제주특별자치도 제주시 명림로 520(봉개동),,33.4443253,126.6266934,520000,사무실 전시실+상시관찰원+사육동+관찰로+어린이놀이시설+파고라 등,,,,,,2007-08-03,300,92,"100여 마리의 노루를 관찰할 수 있고, 자연학습과 생태체험, 오름산행을 즐길 수 있는 열린 시민의 공간입니다",064-728-3611,제주특별자치도 제주시 절물생태관리소,2023-10-30,6510000,제주특별자치도 제주시
제주별빛누리공원,관광지,제주특별자치도 제주시 선돌목동길 60(오등동),제주특별자치도 제주시 오등동 10-34,33.4445529,126.5491863,33637,4D입체영상관+천체투영실+천체관측실+전시실,,,,,,2009-03-20,300,100,천문우주과학분야에 대한 호기심을 해결 할 수 있는 문화공간,064-728-8900,제주특별자치도 제주시 관광진흥과,2023-10-30,6510000,제주특별자치도 제주시
금정산,관광지,부산광역시 금정구 범어사로 250,부산광역시 금정구 청룡동 546,35.28304264,129.0676208,18845,케이블카+범어사 주차장,,,,,,1994-01-01,100,100,금정산은‘산마루에 우물이 있어 한 마리 금빛 나는 물고기가 오색구름을 타고 하늘에서 내려 와 우물 속에 놀았다’는 이야기에서 유래하여 이름 붙은 부산의 진산이다.,051-519-4081,부산광역시 금정구 문화관광과,2023-10-27,3350000,부산광역시 금정구
범어사,관광지,부산광역시 금정구 범어사로 250,부산광역시 금정구 청룡동 546,35.28304308,129.0676212,3513,화장실+주차장+명상공간+체육시설,,,,,,1966-01-01,100,100,범어사는 역사적으로 많은 고승대덕을 길러내고 선승을 배출한 수행사찰로 오랜 전통과 많은 문화재가 보존되어 있는 한국 불교계의 중심지 중 하나이다.,051-519-4081,부산광역시 금정구 문화관광과,2023-10-27,3350000,부산광역시 금정구
회동수원지,관광지,부산광역시 금정구 오륜대로258,부산광역시 금정구 오륜동 353-2,35.24707332,129.115753,2017,정자+수변데크,,,,,,2010-01-01,100,20,"조선시대부터 아름다운 풍경으로 유명한 회동수원지는 금정구를 대표하는 도심 속 힐링 명소이다. 땅뫼산 황토숲길, 편백나무숲, 오륜대 전망대는 일상 속 휴식처가 되어 준다.",051-519-4081,부산광역시 금정구 문화관광과,2023-10-27,3350000,부산광역시 금정구
팔공산 하늘정원,관광지,,경상북도 군위군 부계면 동산리 산 74-18,36.023813,128.696761,6000,정자+탐방로,,정자+탐방로,정자+탐방로,,,2015-06-12,100,10,"오도암, 비로봉, 동봉, 서봉 등 팔공산의 봉우리들을 자유롭게 다닐 수 있는 오름길",054-380-7943,경상북도 군위군청,2022-11-26,5140000,경상북도 군위군
김수환 추기경 사랑과 나눔 공원,관광지,경상북도 군위군 군위읍 군위금성로 270,경상북도 군위군 군위읍 용대리 424,36.232449,128.599613,32128,공원,,,기념관+경당+추기경생가+십자가의 길+평화의 숲+추모정원+중앙광장+잔디광장+옹기가마,,,2018-03-27,30,20,"김수환 추기경의 사랑과 나눔 정신의 계승,확산을 위한 정신문화 공간",054-380-6064,경상북도 군위군청,2022-11-26,5140000,경상북도 군위군
사라온 이야기 마을,관광지,경상북도 군위군 군위읍 동서길 49,경상북도 군위군 군위읍 서부리 44-1,36.236155,128.567733,8140,관리사무소+주차장,,,야외쉼터+환희문(정문)+적라촌+적라청+적라골,매표소,,2015-10-01,200,70,"선조들이 살아온 역사와 문화를 적라촌, 적라청, 적라골 3가지 테마로 나누어 재현",054-380-7216,경상북도 군위군청,2022-11-26,5140000,경상북도 군위군
함평해수찜,관광지,전라남도 함평군 손불면 석산로 61,,35.10050068,126.4648643,993,X,,해수욕장,,,,2000-11-11,500,100,온천과 약찜의 효능을 한꺼번에 즐길수 있음,061-320-1784,함평군,2022-11-09,4960000,전라남도 함평군
함평자연생태공원,관광지,전라남도 함평군 대동면 학동로 1398-77,,35.13500123,126.5056999542,597250,화장실+주차장,,식물원+산림휴양시설,,,,2000-11-11,10000,100,사계절 탐방학습과 생태체험,061-320-2851,함평군,2022-11-09,4960000,전라남도 함평군
함평양서파충류생태공원,관광지,전라남도 함평군 신광면 학동로 1398-9,,35.13834076,126.4937003,85000,화장실+주차장,,동물원,,,,2000-11-11,5000,100,국내 최대 양서파충류 전문 전시관,061-320-2874,함평군,2022-11-09,4960000,전라남도 함평군
맹종죽테마공원,관광지,경상남도 거제시 하청면 거제북로 700,경상남도 거제시 하청면 실전리 880-3,34.967708,128.650512,40215,화장실,N,서바이벌 체험장,맹종족 숲체험,안내소,,2000-10-01,1000,20,맹종죽을 이용한 창조적 활용과 보존을 통하여 죽림욕을 이용한 치유，바다경관과 환경예술을 접목한 경관치유，맹족죽을 이용한 체험놀이치유가 가능한 죽림테라피 공간입니다.,055-637-0067,경상남도 거제시청,2023-09-05,5370000,경상남도 거제시
거제박물관,관광지,경상남도 거제시 거제대로 3791(옥포동),경상남도 거제시 옥포동 1565,34.894071,128.686203,899.16,화장실,N,N,전시실,안내소,,1991-12-21,200,10,거제의 역사와 자료를 수집，정리，연구전시하고 있는 비영리 법인인 거제 문화재단의 사업기관,055-687-6790,거제박물관,2023-09-05,5370000,경상남도 거제시
거제시농업개발원,관광지,경상남도 거제시 거제면 거제남서로 3577,경상남도 거제시 거제면 서정리 855-9,34.856464,128.579187,58904.67,화장실,N,N,전시실,안내소,,1992-03-01,3000,50,지역실정에 맞는 농업기술과 지역소득작물을 연구개발 보급하여 농업인의 소득을 높이고，도시민에게는 농업 현장체험과 사계절 꽃 및 난지식물을 만날 수 있는 농업테마공원,055-639-6421,거제시농업개발원,2023-09-05,5370000,경상남도 거제시
거제요트학교,관광지,경상남도 거제시 일운면 지세포해안로 41,경상남도 거제시 일운면 지세포리 929-88,34.833694,128.701885,174,화장실,N,N,N,안내소,,2004-05-25,250,25,요트 산업의 활성화와 해양레저 스포츠 인구의 저변 확대는 물론 요트，윈드서핑을 비롯한 해양레저 스포츠의 철저한 교육 등 요트인구 저변 확대,055-682-1100,경상남도 거제시청,2023-09-05,5370000,경상남도 거제시
씨라인,관광지,경상남도 거제시 덕포5길 32-3,경상남도 거제시 덕포동 365-3,34.91111602,128.7102346,514.12,화장실,N,짚라인,N,N,,2010-04-03,200,50,덕포해수욕장의 맑고 푸른 바다 위를 ’한마리 새처럼 자유롭고 짜릿하게 활강하면서 즐기는 체험시설’을 의미한다.,055-688-2351,씨라인,2023-09-05,5370000,경상남도 거제시
진남관,관광지,전라남도 여수시 동문로 11,전라남도 여수시 군자동 472,34.7413383,127.7365704,792,화장실,,,임란유물전시관,관광안내소,관리사무소,2001-04-17,0,102,국보 제 304호 국내 최대 단층목조건물로 조선시대 400여 년간 조선수군의 본거지로 이용되었던 역사의 현장이다. 2020년 12월까지 보수공사중이다.,061-659-5710,전라남도 여수시청,2024-04-01,4810000,전라남도 여수시
향일암,관광지,전라남도 여수시 돌산읍 향일암로 60,전라남도 여수시 율림리 산 7,34.59379448,127.8029861,0,화장실,,,,관광안내소,매표소+종무소,2012-05-06,0,109,우리나라 4대 관음기도도량 중 하나로 전국 최고의 일출명소이다. 644년 원효대사에 의해 창건되었다고 전해진다.,061-644-0309,대한불교조계종,2024-04-01,4810000,전라남도 여수시
방화동가족휴가촌,관광지,전라북도 장수군 번암면 방화동로 778,전라북도 장수군 번암면 사암리 625,35.59064179,127.5268761,250000,"관리사무실, 주차장, 화장실, 샤워실, 취사장","가족휴양동 20실, 다문화체험동 5실","족구장 1식, 체육광장 1식","목재문화체험장, 야영장, 인공폭포",,,1988-02-19,2400,200,전국 8대종산에 속하는 장안산 기슭을 따라 펼쳐지는 맑고 깨끗한 계곡을 끼고 조성된 국민 휴양지,063-350-2475,장수군 산림과,2021-10-12,4750000,전라북도 장수군
용대관광지,관광지,강원도 인제군 북면 십이선녀탕길 16,강원도 인제군 북면 용대리 1795,38.18568475,128.3061965,289754,화장실+주차장,펜션+야영장,,조경휴게지+산림욕장,음식점,,1996-06-01,1500,300,"설악산국립공원의 내설악지역에 위치하고 있으며 십이선녀탕, 만해마을, 백담사, 황태덕장, 하천 등이 관광지 주변이 있음",033-460-4312,강원도 인제군청,2023-06-07,4330000,강원도 인제군
방동관광지,관광지,강원도 인제군 기린면 방동약수로 89-59,강원도 인제군 기린면 방동리 34-5,37.94387136,128.3962628,60900,화장실+주차장,펜션+야영장,,조경휴게지+산림욕장,음식점,,2008-06-01,1000,250,기린면 방동지역에 위치하고 있음,033-460-4312,강원도 인제군청,2023-06-07,4330000,강원도 인제군
청마기념관,관광지,경상남도 거제시 둔덕면 방하2길 6,경상남도 거제시 둔덕면 방하리 505-1,34.854887,128.517123,550.18,화장실,N,N,전시실,안내소,,2000-05-01,200,20,청마 유치환이 태어난 곳으로 그이 문학 정신을 기리고 그 업적을 고양하기 위하여 기념관을 건립,055-635-8340,경상남도 거제시 거제해양관광개발공사,2023-09-05,5370000,경상남도 거제시
씨월드,관광지,경상남도 거제시 일운면 지세포해안로 15,경상남도 거제시 일운면 소동리 478-1,34.835848,128.701478,7696.89,화장실,N,N,전시실+돌고래체험,안내소,,2013-05-10,300,30,대한민국 최대의 돌고래 체험시설로 돌고래 만지기，악수하기，돌고래에게 먹이주기 등 다양한 체험 및 교육프로그래을 즐길 수 있다.,055-682-0330,거제씨월드,2023-09-05,5370000,경상남도 거제시
알로에테마파크,관광지,경상남도 거제시 거제면 거제남서로 3937,경상남도 거제시 거제면 내간리 산121-3,34.835716,128.560282,3219.1,화장실,N,N,전시실,안내소,,2014-12-01,500,30,알로에를 화분에 심어가져가거나 족욕을 즐기는 등 다양한 체험을 할 수 있는 테마파크,055-632-9907,알로에테마파크,2023-09-05,5370000,경상남도 거제시
노을이물드는언덕,관광지,,경상남도 거제시 사등면 창호리 1475,34.9545096349,128.5194543157,3974,화장실,N,N,전망대,N,,2012-12-01,300,10,푸른 빛 바다와 붉은 노을이 어우러져 아름다운 풍경을 자아내는 곳,055-639-4183,경상남도 거제시청,2023-09-05,5370000,경상남도 거제시
가조수협효시공원,관광지,경상남도 거제시 사등면 가조서로 7,경상남도 거제시 사등면 창호리 2080,34.929516,128.525144,3141,화장실,N,N,전시실,안내소,,2018-12-26,100,20,우리나라 수산업협동조합의 처음 시작된 역사적 의미 기념하여 조성함.,055-639-8341,경상남도 거제시 거제해양관광개발공사,2023-09-05,5370000,경상남도 거제시
용평관광단지,관광단지,,강원도 평창군 대관령면 용산리+수하리 일원,37.660871,128.666483,16219204,주차장+화장실,콘도+호텔,스키장+골프장,,상가+음식점+카페 등,,2001-02-21,64000,2837,버치힐GC+워터파크+그린피아콘도+드래곤밸리호텔 등 숙박시설 및 유원시설+골프시설이 갖춰져 있으며+사계절 휴양 가능한 복합 리조트이다.,033-330-2742,강원도 평창군청,2022-09-29,4280000,강원도 평창군
알펜시아관광단지,관광단지,강원도 평창군 대관령면 솔봉로 325 일원,강원도 평창군 대관령면 용산리 425 일원,37.6552224,128.681494,4855224,주차장+화장실,콘도+호텔,스키장+골프장,"생태학습원+뮤직텐트,콘서트홀+강원학생체육훈련장+채플+아름드리원+늘푸른원+야생화원+숲마루원",상가+명품아울렛+초콜릿전시관,,2005-09-23,40000,2800,사계절 복합 리조트 시설을 갖추고 있음. 골프지구+리조트빌리지지구+스키지구+동계올림픽지구로 구성되어 있으며 스키전망대 등 스키시설과 유원시설+골프시설 등이 조성되어있다.,033-330-2742,강원도 평창군청,2022-09-29,4280000,강원도 평창군
휘닉스파크관광단지,관광단지,강원도 평창군 봉평면 태기로 174 일원,강원도 평창군 봉평면 면온리 1095-1 일원,37.581373,128.327331,4233000,주차장+화장실,콘도+호텔,스키장+골프장,유스호스텔+극장+워터파크+컨벤션센터,상가(센타프라자),,1998-10-01,38000,2800,스키+스노우빌리지+워터파크 등 다양한 레저시설을 갖추고 있으며 사계절 이용 가능한 복합레져휴양리조트이다. 골프장+스키장+유원시설 및 관광숙박시설 등 이용가능하다.,033-330-2742,강원도 평창군청,2022-09-29,4280000,강원도 평창군
오륜대한국순교자박물관,관광지,부산광역시 금정구 오륜대로 106-1,부산광역시 금정구 부곡동 1-4,35.24570172,129.1009016,1317,휴게소+화장실+전시실,,,,,,1982-09-25,100,100,한국 가톨릭 순교자들의 신념을 기억하기 위해 건립된 오륜대한국순교자박물관에는 한국 순교자들의 유물뿐만 아니라 역사적 의미가 있는 자료들도 함께 전시·보존하여 더욱 의미가 있다.,051-519-4081,부산광역시 금정구 문화관광과,2023-10-27,3350000,부산광역시 금정구
부산대젊음의거리,관광지,부산광역시 금정구 장전온천천로 51,부산광역시 금정구 장전동 643-117,35.229587,129.0888177,10000,문화나눔터+어울마당,,,,,,2004-01-01,100,100,"청춘들의 꿈, 열정, 자유가 넘치는 부산대 젊음의 거리는 색다른 문화공연과 프리마켓 등 다양한 행사가 날마다 이어진다. 골목골목 위치한 상점에서 청춘의 열기를 느낄 수 있다.",051-519-4081,부산광역시 금정구 문화관광과,2023-10-27,3350000,부산광역시 금정구
금정산성마을,관광지,부산광역시 금정구 산성로 452,부산광역시 금정구 금성동 554-3,35.250339,129.0561338,7450,미술관+문화체험촌,,,,,,1994-01-01,100,100,금정산성마을은 금정산 해발 400m의 분지에 아담히 자리잡은 산성마을로 금정산 능선이 병풍처럼 둘러싸고 있는 아름다운 자연환경을 갖추고 있어 휴일이면 이곳을 찾는 등산객들의 발길이 끊이지 않는다.,051-519-4081,부산광역시 금정구 문화관광과,2023-10-27,3350000,부산광역시 금정구
산청전통한방휴양관광지,관광지,경상남도 산청군 금서면 동의보감로555번길 45-6,경상남도 산청군 금서면 특리 1300-86,35.441066,127.829361,294998,공중화장실(12개소)+주차장(3개소),가족호텔,,산림휴양시설+주제관+박물관+약초관+사슴사육장+곰사육장,관광식당,,2001-06-22,250000,400,"엑스포주제관, 한의학박물관, 동의전 등 머무를 수 있는 체류형 관광지",055-970-6633,경상남도 산청군청 한방항노화과,2023-10-25,5450000,경상남도 산청군
산청중산관광지,관광지,경상남도 산청군 시천면 지리산대로 525,경상남도 산청군 시천면 중산리 519,35.293297,127.7549317426,292515,공중화장실(3개소)+주차장(2개소)+보건진료소+우체국,펜션,체력단련장,지리산빨치산토벌전시관+트릭아트체험관,관광식당,,1990-11-09,10000,200,수려한 자연경관과 지리산 천왕봉을 조망할 수 있는 산악형 관광지,055-970-7222,경상남도 산청군청 관광진흥과,2023-10-25,5450000,경상남도 산청군
산청금서관광지,관광지,경상남도 산청군 금서면 친환경로 1715,경상남도 산청군 금서면 지막리 산12,35.394237,127.847052,194800,주차장(1개소),휴양콘도미니엄,수영장+당구장,리조트,관광식당,,1991-12-30,1200,100,수려한 자연경관을 조망할 수 있는 가족단위 형태의 관광지,055-970-7222,경상남도 산청군청 관광진흥과,2023-10-25,5450000,경상남도 산청군
변산해수욕장,관광지,전라북도 부안군 변산면 변산로 2086,전라북도 부안군 변산면 대항리 523-117,35.67999179,126.5309105,535436,관리사무소+화장실+주차장,민박+펜션 등,,,,,2008-04-28,0,0,국립공원 변산반도에 위치한 노을이 아름다운 해수욕장,063-580-4739,전라북도 부안군,2023-10-18,4790000,전라북도 부안군
위도해수욕장,관광지,전라북도 부안군 위도면 위도로 366,전라북도 부안군 위도면 진리 545,35.60583098,126.2853294,148077,관리사무소+화장실+주차장,민박+펜션 등,,,,,1992-08-22,0,0,산들이 감싸고 있는 아담한 모래사장과 맑은 물이 아름다운 위도의 해수욕장,063-583-3804,전라북도 부안군,2023-10-18,4790000,전라북도 부안군
모항해수욕장,관광지,전라북도 부안군 변산면 모항길 23-1,전라북도 부안군 변산면 도청리 165,35.5831428,126.5082098,143082,관리사무소+화장실+주차장,모항해나루가족호텔,,,,,2000-11-30,0,0,아담한 백사장과 소나무 밭이 조화를 이루는 해수욕장,063-580-4738,전라북도 부안군,2023-10-18,4790000,전라북도 부안군
미당서정주의 집,관광지,서울특별시 관악구 남부순환로 256 나길 4,서울특별시 관악구 남현동 1071-11,37.4734032,126.973367,154.71,화장실,,,,,,2013-01-01,20,0,시인 미당 서정주가 1970년부터 2000년까지 실재 거주하던 곳으로 생활 흔적이 그대로 남아있음,02-879-5625,서울특별시 관악구청,2023-10-15,3200000,서울특별시 관악구
강감찬전시관,관광지,서울특별시 관악구 낙성대로 77 낙성대공원내,서울특별시 관악구 봉천동 228,37.47197208,126.959371,125,없음(공원화장실 이용),,,,,,2017-04-01,20,0,강감찬장군과 귀주대첩 관련 자료를 전시하는 전시관,02-879-5625,서울특별시 관악구청,2023-10-15,3200000,서울특별시 관악구
주왕산 관광지,관광지,경상북도 청송군 주왕산면 주왕산로 494,경상북도 청송군 주왕산면 하의리 842,36.37813214,129.108598,249642.6,관리사무소+주차장+진입광장+도로+배수지+오수처리장,콘도미니엄,,허브가든+도예촌+전망휴게소+유교문화체험관+민예촌+박물관,,,2007-10-22,3000,708,체험+체류형 종합휴양관광지,054-870-6239,경상북도 청송군청,2023-10-17,5160000,경상북도 청송군
우수영관광지,관광지,전라남도 해남군 문내면 관광레저로 1,전라남도 해남군 문내면 학동리 1021,34.57257374,126.3101147,250821,전망대+화장실,유스호스텔,인조구장+명량해상케이블카+스카이워크,해전사기념전시관+명량대첩비,,주차장,1986-01-04,3000,500,이순신장군의 명량대첩의 감동이 살아있는 관광지,061-530-5541,전라남도 해남군청,2023-11-29,4930000,전라남도 해남군
땅끝관광지,관광지,전라남도 해남군 송지면 땅끝마을길 100,전라남도 해남군 송지면 송호리 1158-5,34.29471348,126.5250233,665884,전망대+화장실,황토나라테마촌,땅끝모노레일+놀이터,오토캠핑장+땅끝해양자연사박물관+전망대,,주차장,1986-06-07,10000,800,한반도의 최남단이자 삼천리 금수강산의 시작점으로 희망을 상징하는 관광지,061-530-5544,전라남도 해남군청,2023-11-29,4930000,전라남도 해남군
운일암반일암,관광지,전라북도 진안군 주천면 동상주천로 1924,전라북도 진안군 주천면 주양리 630,35.97596963,127.408748,595463,도로+관리사무소+공중화장실(7개소)+오수처리장,,,야영장 2개소,관리사무소,없음,1990-12-27,2000,500,"기암괴석과 크고 작은 폭포, 소가 어울려 빚어낸 절경",063-430-2554,전라북도 진안군,2023-12-01,4731000,전북특별자치도 진안군
등명해변관광지,관광지,강원도 강릉시 강동면 정동등명길 2,강원도 강릉시 강동면 정동진리 440-41,37.7023290625,129.0161925529,193660,화장실+주차장,"다우리조텔, 민박",레일바이크,정동진시간박물관,,,1997-08-02,600,120,등명해변관광지,033-640-5685,강원도 강릉시청,2023-05-09,4200000,강원도 강릉시
대관령어흘리관광지,관광지,강원도 강릉시 성산면 삼포암길 17,강원도 강릉시 성산면 어흘리 508,37.719113,128.7960845161,163160,화장실+주차장,,,대관령박물관,,,2014-12-26,1000,0,성산면 대관령 어흘리 관광지,033-640-5685,강원도 강릉시청,2023-05-09,4200000,강원도 강릉시
용마폭포공원,관광지,서울특별시 중랑구 용마산로 250-12,서울특별시 중랑구 면목동 산 1-4,37.57335201,127.0891138,167172,수영장+축구장+배드민턴장,,클라이밍 경기장,,,,1997-05-10,100000,0,동양 최대의 인공폭포가 있는 명소,02-2094-2965,서울특별시 중랑구청 공원녹지과,2023-05-02,3060000,서울특별시 중랑구
망우리공원,관광지,서울특별시 중랑구 망우로 570,서울특별시 중랑구 망우동 산 57-1,37.59835362,127.1148164,832800,주차장,,,,,,1933-05-27,100000,0,우리나라 근현대사 주요인물들이 영면하고 계신 역사와 문화가 살아 숨 쉬는 서울의 대표 공원,02-2094-1812,서울특별시 중랑구청 문화관광과,2023-05-02,3060000,서울특별시 중랑구
중랑캠핑숲,관광지,서울특별시 중랑구 망우로87길 110,서울특별시 중랑구 망우동 76,37.6049551146,127.1099608183,179666,주차장,,,,,,2010-11-20,100000,0,학생소풍 및 가족단위 피크닉을 주제로 한 체험형 공원(캠핑장),02-434-4371,서울시특별시 중부공원녹지사업소,2023-05-02,3060000,서울특별시 중랑구
섬진강도깨비마을,관광지,전라남도 곡성군 고달면 호곡도깨비길 119-99,전라남도 곡성군 고달면 호곡리 136-1,35.25424902,127.363209,6144,주차장+화장실,,,,,,2005-06-01,150,5,"곡성에도 여느 고장처럼 무수한 도깨비 이야기가 전해져 내려오고 있지만, 그중 태종임금, 이방원의 심복이었던 마천목 장군과 도깨비살 전설이 가장 유명하여 애니메이션으로 제작되어 기차마을 요술랜드에서도 상영하고 있다. 돌로 바다나 강물을 막고 그곳에 나뭇가지를 촘촘히 박아서 고기가 빠져나가지 못하게 한 다음, 물고기를 잡는 전통 어로방식을 어살이라고 한다. 그런데 물살이 드센 강을 커다란 돌로 막는다는 것이 보통 어려운 일은 아니다.[효성이 지극한 마천목 장군이 어머니에게 고기를 잡아드리기 위해서 강가에 나갔다가, 푸른빛이 도는 돌을 주워온다. 그 돌이 도깨비 두목이었던 것이다. 도깨비들이 집으로 찾아와 두목을 돌려주면 무슨 소원이든 들어주겠다고 하자, 마천목장군은 어살을 막아달라고 했다. 그래서 도깨비들이 하룻밤사이에 어살을 막아주었는데, 섬진강에는 아직도 그 자취가 남아있다.]도깨비와 관련된 각종 자료와 전시품들이 박물관 수준 이상으로 일목요연하게 전시되어 있어 우리가 몰랐던 도깨비에 대한 상식들을 많이 알수 있다.",061-362-2954,전라남도 곡성군청 문화체육과,2023-08-01,4860000,전라남도 곡성군
압록상상스쿨,관광지,전라남도 곡성군 오곡면 섬진강로 1060,전라남도 곡성군 오곡면 압록리 594,35.19580901,127.375484,1851,주차장+화장실+수유실,,,,,,2020-04-01,500,16,"압록상상스쿨은 (구)압록초등학교에 위치하고 있으며, 1층(798.83㎡)은 홍보 및 전시공간, 2층(806.33㎡)은 어린이 실내놀이터와 다목적 놀이 공간, 3층(308.69㎡)은 카페테리아, 소공연장, 전망대, 테라스 등으로 구성되어 섬진강 기차마을과 함께 새로운 놀이 문화공간으로 부상하고 있다.",061-362-2225,전라남도 곡성군청 관광과,2023-08-01,4860000,전라남도 곡성군
압록유원지,관광지,전라남도 곡성군 죽곡면 섬진강로 1012,전라남도 곡성군 죽곡면 하한리 1039,35.19196269,127.3775123,85776,주차장+화장실+개수대,,,,,,2021-09-01,2000,50,"강을 통한 운송이 수송의 중요한 역할을 담당했던 시절, 두 강이 만나는 합수지점은 물산과 사람이 모이는 교통의 요지 구실을 했다. 섬진강과 대황강(보성강)이 합쳐지는 곡성 압록포구도 그런 곳이었다. 옛 사람들이 일컬은 곡성팔경중 압록의 귀범(歸帆)이라는 표현만 보더라도 그것을 알 수 있다.섬진강과 보성강이 합류한 기점인 이 곳은 3만여평의 드넓은 백사장이 펼쳐있는 한여름 피서지로 널리 알려진 자연유원지다. 여름에는 모기가 없어 가족단위 캠핑장소로 각광을 받고 있으며, 반월교와 철교가 나란히 강을 가로질러 놓여있어 운치가 뛰어나다. 특히, 보성강 하류의 유명 낚시터가 산재해 있어 강태공들에게는 인기가 높다. 강변에는 압록의 별미인 참게탕, 은어회, 매운탕을 맛볼 수 있는 향토음식점이 즐비해 있어 또다른 즐거움을 준다.또한 이곳 압록유원지에는 「모기전설」 이 전해 내려오고 있는데 「강감찬 장군이 어머니를 모시고 여행을 하다 이 곳 압록유원지에서 노숙을 하였는데 극성스런 모기 때문에 어머님이 잠을 청하지 못하자, 강감찬장군이 고함을 질러 모기의 입을 봉하였다.」고 한다. 그런 연유에서인지 아니면 섬진강의 시원한 강줄기 때문인지 다른 지역에 비해 여름에 모기가 별로 없다고 한다.",061-360-8431,전라남도 곡성군청 관광과,2023-08-01,4860000,전라남도 곡성군
반월호수,관광지,경기도 군포시 호수로 92,경기도 군포시 둔대동 354-3,37.32458238,126.8899642,12000000,화장실,,,,,,2021-05-12,10000,0,순환산책로가 조성되어 있고 아름다운 풍경으로 유명한 장소이다.,031-392-3000,경기도 군포시청,2023-12-15,4020000,경기도 군포시
초막골 생태공원,관광지,경기도 군포시 초막골길 216,경기도 군포시 산본동 856,37.35410097,126.9191417,561500,화장실,,,전시관,카페,방문자센터,2010-09-01,900000,184,수리산이 가진 자연적 환경과 조선시대 역사유적 등의 문화유산을 겸비한 생태문화공간이다.,031-392-3000,경기도 군포시청,2023-12-15,4020000,경기도 군포시
철쭉동산,관광지,,경기도 군포시 산본동 1152-14,37.35543392,126.924967,55795,화장실,,,,,,2021-05-12,500000,260,빈틈없이 심긴 철쭉꽃이 만개한 모습은 많은 사람들에게 사랑을 받으며 군포의 대표축제로 자리매김하였다.,031-392-3000,경기도 군포시청,2023-12-15,4020000,경기도 군포시
수리사,관광지,경기도 군포시 속달로 347-181,경기도 군포시 속달동 329,37.35443607,126.8967938,7369,화장실,,,,,,1988-10-25,100,5,진흥왕 때 세워진 수리사는 6.25전쟁을 거치며 모든 건물들이 소실되었다가 꾸준히 복원되어 오늘에 이르고 있다.,031-438-1823,수리사,2023-12-15,4020000,경기도 군포시
물누리체험관,관광지,경기도 군포시 호수로 170-85,경기도 군포시 둔대동 301-5,37.32136505,126.8996775,1477.76,화장실,,,,,,2009-10-01,40,11,물과 관련된 다양한 체험프로그램이 있는 물누리체험관,031-390-8688,경기도 군포시청,2023-12-15,4020000,경기도 군포시
라비에벨,관광단지,강원도 춘천시 동산면 종자리로 436,강원도 춘천시 동산면 조양리 산199,37.74121725,127.75781981,4843796,주차장+화장실+도로+광장+전기시설+통신시설+상하수도시설+관광안내소+오수처리장,한국전통호텔+관광호텔+휴양콘도미니엄,클럽하우스+승마장+골프장+티하우스,양회공연장+트레킹코스+전망대+수목원+체험농장+컨퍼런스센터+아울렛,관광식당,,2009-09-01,1000,317,"자연 원형의 생태가 그대로 살아 숨쉬고 최고의 코스와 함께 도전과 변화, 평온과 휴식을 동시에 만끽하실 수 있습니다",033-245-7000,코오롱글로벌㈜,2023-01-12,4180000,강원도 춘천시
옹기테마공원,관광지,서울특별시 중랑구 신내로21길 116,서울특별시 중랑구 신내동 777,37.61265372,127.0885194,9000,옹기정원,,,,,,2017-03-15,100000,0,다양한 전통문화 체험프로그램 참여가 가능한 옹기를 테마로 조성된 공원,02-2094-1813,서울특별시 중랑구청 문화관광과,2023-05-02,3060000,서울특별시 중랑구
대광해수욕장,관광지,전라남도 신안군 임자면 대광해수욕장길 179,전라남도 신안군 임자면 광산리 407-24,35.10291276,126.0725117,1500,화장실(6동)+주차장(4개소)+취사장(5동)+관리사업소(1동),,,,,,1990-09-21,10000,1000,넓은 백사장과 주변 섬들의 경관 등 천혜의 자연환경을 지님,061-240-4049,대광개발사업소,2023-05-01,5010000,전라남도 신안군
호미곶관광단지,관광지,경상북도 포항시 남구 호미곶면 해맞이로 136,경상북도 포항시 남구 호미곶면 대보리 286-5,36.07608308,129.5665319,221366,공중화장실+잔디밭,,,새천년기념관,여행자센터,,2003-11-06,1000000,223,호미곶의전경을 확인,054-270-2244,경상북도 포항시 관광산업과,2023-04-25,5020000,경상북도 포항시
실안관광지,관광지,경상남도 사천시 노을길 138,경상남도 사천시 실안동 1245-1,34.94398447,128.0399764,256877,숙박시설+상가시설+휴양문화시설+화장실+주차장+전기시설+상하수도시설,호텔+모텔,,,,,2000-06-26,1000,150,전통 물고기 잡이 죽방렴과 전국에서 빼어난 노을을 관망할 수 있음.,055-831-2731,경상남도 사천시,2023-04-17,5340000,경상남도 사천시
에버랜드,관광지,경기도 용인시 처인구 포곡읍 에버랜드로 199,경기도 용인시 처인구 포곡읍 전대리 310번지,37.2940666959,127.2021280298,746000,화장실+주차장+관광안내소,,,,,,1976-04-17,81546,10400,경기도 용인시 처인구 포곡읍 에버랜드로 199에 위치한 테마파크. 현재까지 대한민국 최대 규모의 놀이공원 및 동물원이 있다.,031-324-2117,경기도 용인시 관광과,2023-04-20,4050000,경기도 용인시
